,ALTURA TOTAL,FAMILIA,Nombre común,Nombre científico
1110,11.0,ANACARDIACEAE,Falso pimiento,Schinus terebinthifolius 
1111,11.0,ANACARDIACEAE,Falso pimiento,Schinus terebinthifolius 
1112,6.8,EUPHORBIACEAE,Ceiba tronadora,Hura crepitans 
1113,2222.0,ANACARDIACEAE,Mango,Mangifera indica 
1114,8.5,FABACEAE,Barbasco,Lonchocarpus sp.
1115,2.7,MALVACEAE,Cacao de monte,Pachira speciosa
1116,8.0,SAPINDACEAE,Mamoncillo,Melicoccus bijugatus 
1117,17.0,MALVACEAE,Ceiba de tierra fria,Spirotheca rosea
1118,11.0,FABACEAE,Acacia amarilla,Caesalpinia pluviosa
1119,3.2,FABACEAE,Rayo,Parkia pendula 
1120,8.5,OLEACEAE,Urapán,Fraxinus uhdei 
1121,10.0,ANACARDIACEAE,Falso pimiento,Schinus terebinthifolius 
1122,5.5,FABACEAE,Barbasco,Lonchocarpus sp.
1123,12.0,ARECACEAE,Palma pindo,Syagrus romanzoffiana 
1124,14.0,MORACEAE,Ficus,Ficus sp.
1125,14.0,FABACEAE,Carmín,Senna siamea 
1126,14.0,OLEACEAE,Urapán,Fraxinus uhdei 
1127,14.5,COMBRETACEAE,Terminalia,Terminalia ivorensis
1128,12.0,COMBRETACEAE,Terminalia,Terminalia ivorensis
1129,10.0,LYTHRACEAE,Guayacán de manizales,Lafoensia speciosa 
1130,13.0,FABACEAE,Piñón de oreja,Enterolobium cyclocarpum 
1131,10.0,SAPINDACEAE,Chumbimbo,Sapindus saponaria 
1132,4.2,FABACEAE,Chocho,Ormosia colombiana 
1133,6.3,BIGNONIACEAE,Guayacán rosado,Tabebuia rosea 
1134,2.8,ROSACEAE,Níspero del Japón,Eriobotrya japonica
1135,5.0,MALPIGHIACEAE,Huesito,Malpighia glabra 
1136,11.0,URTICACEAE,Yarumo,Cecropia sp. 
1137,12.5,SAPINDACEAE,Iguano,Dilodendron costaricense
1138,12.5,FABACEAE,Ébano,Caesalpinia ebano 
1139,8.0,ANNONACEAE,Guanábano,Annona muricata 
1140,13.0,FABACEAE,Ébano,Caesalpinia ebano 
1141,5.2,POLYGONACEAE,Uvito de playa,Coccoloba uvifera
1142,4.0,FABACEAE,Rayo,Parkia pendula 
1143,7.0,FABACEAE,Gualanday (2),Jacaranda hesperia 
1144,6.5,MALVACEAE,Ceiba pentandra,Ceiba pentandra 
1145,11.5,BIGNONIACEAE,Guayacán rosado,Tabebuia rosea 
1146,16.0,OLEACEAE,Urapán,Fraxinus uhdei 
1147,13.0,MELIACEAE,Caobo,Swietenia macrophylla 
