,ALTURA TOTAL,FAMILIA,Nombre común,Nombre científico
1356,20.0,MELIACEAE,Caobo,Swietenia macrophylla 
1357,10.0,ANACARDIACEAE,Mango,Mangifera indica 
1358,17.0,FABACEAE,Casco de vaca blanco,Bahuinia picta
1359,5.5,FABACEAE,Arizá,Brownea ariza 
1360,7.2,EUPHORBIACEAE,Liberal,Euphorbia cotinifolia 
1361,9.5,ANACARDIACEAE,Mango,Mangifera indica 
1362,3.25,FAGACEAE,Roble,Quercus humboldtii
1363,9.5,ANACARDIACEAE,Mango,Mangifera indica 
1364,2.8,FAGACEAE,Roble,Quercus humboldtii
1365,5.8,MALPIGHIACEAE,Confite,Bunchosia armeniaca 
1366,17.0,CALOPHYLLACEAE,Aceite María,Calophyllum brasiliense
1367,20.0,OLEACEAE,Urapán,Fraxinus uhdei 
1368,13.0,POLYGONACEAE,Vara santa,Triplaris americana
1369,17.0,FABACEAE,Chiminango,Phithecellobium dulce 
1370,17.0,MELIACEAE,Caobo,Swietenia macrophylla 
1371,9.0,COMBRETACEAE,Almendro,Terminalia catappa 
1372,13.0,OLEACEAE,Urapán,Fraxinus uhdei 
1373,3.5,MYRTACEAE,Guayabo jaboticaba,Myrciaria cauliflora
1374,4.1,MYRTACEAE,Guayabo jaboticaba,Myrciaria cauliflora
1375,4.3,MYRTACEAE,Guayabo jaboticaba,Myrciaria cauliflora
1376,3.2,MYRTACEAE,Guayabo jaboticaba,Myrciaria cauliflora
1377,11.0,BORAGINACEAE,Nogal cafetero,Cordia alliodora 
1378,11.5,RUBIACEAE,Jagua,Genipa americana 
1379,8.2,RUBIACEAE,Jagua,Genipa americana 
1380,8.0,RUBIACEAE,Jagua,Genipa americana 
1381,15.0,BORAGINACEAE,Nogal cafetero,Cordia alliodora 
1382,8.5,RUBIACEAE,Jagua,Genipa americana 
1383,8.5,COMBRETACEAE,Almendro,Terminalia catappa 
1384,9.0,COMBRETACEAE,Almendro,Terminalia catappa 
1385,10.0,MALVACEAE,Majagua,Hibiscus tiliaceus 
1386,3.0,FABACEAE,Brownea ucayalina,Brownea ucayalina
1387,8.5,COMBRETACEAE,Almendro,Terminalia catappa 
1388,11.0,MALVACEAE,Majagua,Hibiscus tiliaceus 
1389,8.0,BORAGINACEAE,Nogal cafetero,Cordia alliodora 
1390,6.3,COMBRETACEAE,Almendro,Terminalia catappa 
1391,6.8,COMBRETACEAE,Almendro,Terminalia catappa 
1392,11.0,MALVACEAE,Majagua,Hibiscus tiliaceus 
1393,12.5,BIGNONIACEAE,Tulipán africano,Spathodea campanulata 
1394,13.5,MELIACEAE,Caobo,Swietenia macrophylla 
1395,14.0,ARECACEAE,Palma pindo,Syagrus romanzoffiana 
1396,13.0,ARECACEAE,Palma pindo,Syagrus romanzoffiana 
1397,11.0,MELIACEAE,Caobo,Swietenia macrophylla 
1398,13.0,MELIACEAE,Caobo,Swietenia macrophylla 
1399,13.5,CALOPHYLLACEAE,Mamey,Mammea americana
1400,7.0,ANACARDIACEAE,Mango,Mangifera indica 
1401,6.8,ANACARDIACEAE,Mango,Mangifera indica 
1402,12.5,CALOPHYLLACEAE,Mamey,Mammea americana
1403,4.2,BIGNONIACEAE,Totumo,Crescentia cujete 
1404,7.5,ANACARDIACEAE,Mango,Mangifera indica 
1405,2.9,MYRTACEAE,Pero de agua,Syzygium malaccense
1406,12.0,LECYTHIDACEAE,Abarco,Cariniana pyriformis 
1407,6.2,ANNONACEAE,Guanábano,Annona muricata 
1408,16.0,ANACARDIACEAE,Mango,Mangifera indica 
1409,5.0,RUTACEAE,Naranjo,Citrus sinensis 
1410,5.0,ANACARDIACEAE,Mango,Mangifera indica 
1411,11.0,CALOPHYLLACEAE,Mamey,Mammea americana
1412,12.5,MELIACEAE,Cedro,Cedrela odorata 
1413,7.8,ANACARDIACEAE,Mango,Mangifera indica 
1414,1.6,SOLANACEAE,Francesino,Brunfelsia pauciflora
1415,0.75,FABACEAE,Arizá,Brownea ariza 
1416,3.5,MYRTACEAE,Guayaba ciruela,Psidium cattleianum
1417,7.6,ANNONACEAE,Guanábano,Annona muricata 
1418,9.8,LAURACEAE,Aguacatillo,Persea caerulea
1419,5.8,MYRTACEAE,Guayabo,Psidium guajava 
1420,2.05,BIGNONIACEAE,Guayacán amarillo,Handroanthus chrysanthus
1421,6.2,RUTACEAE,Mandarino,Citrus nobilis 
1422,6.0,SAPOTACEAE,Zapote de carne,Pouteria sapota
1423,6.8,ANACARDIACEAE,Mango,Mangifera indica 
1424,12.5,FABACEAE,Carmín,Senna siamea 
1425,7.1,ANACARDIACEAE,Mango,Mangifera indica 
1426,3.0,RUTACEAE,Naranjo,Citrus sinensis 
1427,1.8,ARECACEAE,Palma pindo,Syagrus romanzoffiana 
1428,14.0,FABACEAE,Carmín,Senna siamea 
1429,7.6,MELIACEAE,Cedro macho,Guarea guidonia
1430,8.6,ANACARDIACEAE,Mango,Mangifera indica 
1431,9.6,ANACARDIACEAE,Mango,Mangifera indica 
1432,5.0,ROSACEAE,Níspero del Japón,Eriobotrya japonica
1433,16.0,OLEACEAE,Urapán,Fraxinus uhdei 
1434,2.5,ANNONACEAE,Guanábano,Annona muricata 
1435,8.0,MALVACEAE,Cacao de monte,Pachira speciosa
1436,1.0,LAURACEAE,Comino crespo,Aniba perutilis 
1437,15.0,ARAUCARIACEAE,Araucaria,Araucaria heterophylla
1438,6.8,BIGNONIACEAE,Guayacán amarillo,Handroanthus chrysanthus
1439,15.0,BIGNONIACEAE,Tulipán africano,Spathodea campanulata 
1440,10.5,BIGNONIACEAE,Tulipán africano,Spathodea campanulata 
1441,4.4,MALPIGHIACEAE,Huesito,Malpighia glabra 
1442,4.3,MALPIGHIACEAE,Huesito,Malpighia glabra 
1443,6.5,ANACARDIACEAE,Mango,Mangifera indica 
1444,6.2,MALPIGHIACEAE,Huesito,Malpighia glabra 
1445,8.2,ANACARDIACEAE,Ciruelo,Spondias purpurea 
1446,10.5,LYTHRACEAE,Guayacán de manizales,Lafoensia speciosa 
1447,10.5,LYTHRACEAE,Guayacán de manizales,Lafoensia speciosa 
1448,10.0,MYRTACEAE,Guayabo,Psidium guajava 
1449,5.6,MALPIGHIACEAE,Huesito,Malpighia glabra 
1450,4.1,MALPIGHIACEAE,Huesito,Malpighia glabra 
1451,11.0,BORAGINACEAE,Nogal cafetero,Cordia alliodora 
1452,6.3,MALVACEAE,Cacao de monte,Pachira speciosa
1453,15.2,ARECACEAE,Palma pindo,Syagrus romanzoffiana 
1454,13.0,FABACEAE,Ébano,Caesalpinia ebano 
1455,8.0,MALPIGHIACEAE,Huesito,Malpighia glabra 
1456,1.6,MALVACEAE,Camajón,Sterculia apetala
1457,9.5,FABACEAE,Gualanday (2),Jacaranda hesperia 
1458,9.8,BIGNONIACEAE,Guayacán rosado,Tabebuia rosea 
1459,16.0,OLEACEAE,Urapán,Fraxinus uhdei 
1460,17.0,MELIACEAE,Caobo,Swietenia macrophylla 
1461,5.3,LAURACEAE,Comino crespo,Aniba perutilis 
1462,17.5,OLEACEAE,Urapán,Fraxinus uhdei 
1463,18.0,ARAUCARIACEAE,Araucaria,Araucaria heterophylla
1464,5.0,MALPIGHIACEAE,Huesito,Malpighia glabra 
1465,13.0,FABACEAE,Ébano,Caesalpinia ebano 
1466,0.9,BIGNONIACEAE,Guayacán rosado,Tabebuia rosea 
1467,3.0,LAURACEAE,Comino crespo,Aniba perutilis 
1468,4.8,MAGNOLIACEAE,Magnolio,Magnolia grandiflora
1469,16.5,LYTHRACEAE,Guayacán de manizales,Lafoensia speciosa 
1470,12.0,OLEACEAE,Urapán,Fraxinus uhdei 
1471,5.2,MAGNOLIACEAE,Magnolio,Magnolia champaca
1472,3.0,SOLANACEAE,Francesino,Brunfelsia pauciflora
1473,8.0,MALVACEAE,Zapote,Quararibea cordata 
1474,4.3,SOLANACEAE,Francesino,Brunfelsia pauciflora
1475,2.8,SOLANACEAE,Francesino,Brunfelsia pauciflora
1476,4.2,MALPIGHIACEAE,Huesito,Malpighia glabra 
1477,0.6,BIGNONIACEAE,Guayacán amarillo,Handroanthus chrysanthus
1478,1.2,SAPINDACEAE,Mamoncillo,Melicoccus bijugatus 
1479,8.5,MORINGACEAE,Moringa,Moringa oleifera
1480,7.0,ARECACEAE,Palma manila,Veitchia merrillii 
1481,3.1,SOLANACEAE,Francesino,Brunfelsia pauciflora
1482,14.5,ARECACEAE,Palma pindo,Syagrus romanzoffiana 
1483,20.0,ARAUCARIACEAE,Araucaria,Araucaria heterophylla
1484,1.5,RUTACEAE,Azahar de la india,Murraya paniculata
1485,7.2,ANACARDIACEAE,Mango,Mangifera indica 
1486,5.4,MAGNOLIACEAE,Magnolio,Magnolia Silvioi
1487,16.5,LYTHRACEAE,Guayacán de manizales,Lafoensia speciosa 
1488,14.0,ANACARDIACEAE,Falso pimiento,Schinus terebinthifolius 
1489,14.5,ARECACEAE,Palma pindo,Syagrus romanzoffiana 
1490,5.0,MELASTOMATACEAE,Sietecueros,Tibouchina lepidota
1491,11.5,BIGNONIACEAE,Tulipán africano,Spathodea campanulata 
1492,10.8,SAPINDACEAE,Chumbimbo,Sapindus saponaria 
1493,7.0,MAGNOLIACEAE,Magnolio,Magnolia grandiflora
1494,8.0,RUBIACEAE,Punta guayabo,Wittmackanthus stanleyanus 
1495,9.5,FABACEAE,Ébano,Caesalpinia ebano 
1496,9.8,ANACARDIACEAE,Ciruelo,Spondias purpurea 
1497,3.5,FABACEAE,Choibá,Dipteryx oleifera
1498,9.5,MELIACEAE,Caobo,Swietenia macrophylla 
1499,15.8,COMBRETACEAE,Almendro,Terminalia catappa 
1500,13.5,LYTHRACEAE,Guayacán de manizales,Lafoensia speciosa 
1501,17.5,LYTHRACEAE,Guayacán de manizales,Lafoensia speciosa 
1502,7.8,MELIACEAE,Caobo,Swietenia macrophylla 
1503,16.5,FABACEAE,Chiminango,Phithecellobium dulce 
1504,17.0,FABACEAE,Chiminango,Phithecellobium dulce 
1505,17.5,OLEACEAE,Urapán,Fraxinus uhdei 
1506,10.9,LYTHRACEAE,Guayacán de manizales,Lafoensia speciosa 
1507,12.0,BIGNONIACEAE,Tulipán africano,Spathodea campanulata 
1508,11.0,ANACARDIACEAE,Ciruelo,Spondias purpurea 
1509,12.0,BIGNONIACEAE,Tulipán africano,Spathodea campanulata 
1510,10.0,MELIACEAE,Caobo,Swietenia macrophylla 
1511,16.0,OLEACEAE,Urapán,Fraxinus uhdei 
1512,7.6,FABACEAE,Guayacan trebol,Platymiscium pinnatum
1513,7.5,ANACARDIACEAE,Mango,Mangifera indica 
1514,16.0,OLEACEAE,Urapán,Fraxinus uhdei 
1515,7.2,MELIACEAE,Caobo,Swietenia macrophylla 
1516,5.1,BIGNONIACEAE,Guayacán rosado,Tabebuia rosea 
1517,10.8,MELIACEAE,Caobo,Swietenia macrophylla 
1518,15.0,MELIACEAE,Caobo,Swietenia macrophylla 
1519,10.5,BIGNONIACEAE,Tulipán africano,Spathodea campanulata 
1520,8.0,ANACARDIACEAE,Mango,Mangifera indica 
1521,7.5,MELIACEAE,Cedro macho,Guarea guidonia
1522,2.9,BIGNONIACEAE,Guayacán rosado,Tabebuia rosea 
1523,4.2,RHAMNACEAE,Ziziphus,Ziziphus sp.
1524,6.2,MALPIGHIACEAE,Huesito,Malpighia glabra 
1525,8.5,LECYTHIDACEAE,Abarco,Cariniana pyriformis 
1526,1.6,RUTACEAE,Limón,Citrus sp.
1527,16.0,FABACEAE,Chiminango,Phithecellobium dulce 
1528,16.5,MELIACEAE,Caobo,Swietenia macrophylla 
1529,7.2,MALPIGHIACEAE,Huesito,Malpighia glabra 
1530,1.0,MYRTACEAE,Grosello,Eugenia uniflora
1531,16.0,FABACEAE,Chiminango,Phithecellobium dulce 
1532,8.0,ANNONACEAE,Guanábano,Annona muricata 
1533,14.0,MALVACEAE,Ceiba pentandra,Ceiba pentandra 
1534,13.5,BIGNONIACEAE,Tulipán africano,Spathodea campanulata 
1535,11.0,LECYTHIDACEAE,Abarco,Cariniana pyriformis 
1536,5.5,MALPIGHIACEAE,Huesito,Malpighia glabra 
1537,8.0,BIGNONIACEAE,Guayacán rosado,Tabebuia rosea 
1538,17.0,OLEACEAE,Urapán,Fraxinus uhdei 
1539,6.0,FABACEAE,Canime,Copaifera officinalis 
1540,12.0,LECYTHIDACEAE,Abarco,Cariniana pyriformis 
1541,18.0,BORAGINACEAE,Nogal cafetero,Cordia alliodora 
1542,18.5,OLEACEAE,Urapán,Fraxinus uhdei 
1543,9.8,LECYTHIDACEAE,Abarco,Cariniana pyriformis 
1544,4.2,MALPIGHIACEAE,Huesito,Malpighia glabra 
1545,16.0,BIGNONIACEAE,Tulipán africano,Spathodea campanulata 
1546,11.0,ARECACEAE,Palma pindo,Syagrus romanzoffiana 
1547,13.0,ARECACEAE,Palma pindo,Syagrus romanzoffiana 
1548,7.8,BIGNONIACEAE,Totumito,Amphitecna macrophylla
1549,8.0,FABACEAE,Acacia roja,Delonix regia 
1550,10.5,ARECACEAE,Palma pindo,Syagrus romanzoffiana 
1551,10.0,ARECACEAE,Palma de coco,Cocos nucifera 
1552,5.2,RUTACEAE,Naranjo agrio,Citrus sp.
1553,6.0,ARECACEAE,Palma manila,Veitchia merrillii 
1554,6.8,SAPINDACEAE,Cariseco,Billia rosea
1555,6.2,SAPINDACEAE,Cariseco,Billia rosea
1556,5.0,SAPINDACEAE,Cariseco,Billia rosea
1557,5.8,SAPINDACEAE,Cariseco,Billia rosea
1558,8.0,LECYTHIDACEAE,Abarco,Cariniana pyriformis 
1559,14.0,LECYTHIDACEAE,Abarco,Cariniana pyriformis 
1560,13.0,LECYTHIDACEAE,Abarco,Cariniana pyriformis 
1561,13.0,LECYTHIDACEAE,Abarco,Cariniana pyriformis 
1562,15.0,LECYTHIDACEAE,Abarco,Cariniana pyriformis 
1563,16.0,LECYTHIDACEAE,Abarco,Cariniana pyriformis 
1564,5.2,FABACEAE,Cynometra,Cynometra sp.
1565,6.0,FABACEAE,Cynometra,Cynometra sp.
1566,6.5,FABACEAE,Cynometra,Cynometra sp.
1567,7.5,ANACARDIACEAE,Mango,Mangifera indica 
1568,11.8,ARECACEAE,Palma Bismarckia,Bismarckia nobilis
1569,4.0,FABACEAE,Acacia amarilla (1),Peltophorum dubium
1570,3.1,FABACEAE,Acacia amarilla,Caesalpinia pluviosa
1571,4.3,FABACEAE,Acacia amarilla,Caesalpinia pluviosa
1572,5.3,FABACEAE,Acacia amarilla,Caesalpinia pluviosa
1573,1.3,LAURACEAE,Aguacate,Persea americana 
1574,10.5,CLUSIACEAE,Madroño,Garcinia madruno
1575,16.0,FABACEAE,Chiminango,Phithecellobium dulce 
1576,15.0,SAPINDACEAE,Chumbimbo,Sapindus saponaria 
1577,17.0,FABACEAE,Piñón de oreja,Enterolobium cyclocarpum 
1578,12.5,BIGNONIACEAE,Guayacán amarillo,Handroanthus chrysanthus
1579,4.2,ANACARDIACEAE,Mango,Mangifera indica 
1580,4.2,ANACARDIACEAE,Mango,Mangifera indica 
1581,3.7,ANACARDIACEAE,Mango,Mangifera indica 
1582,4.3,ANACARDIACEAE,Mango,Mangifera indica 
1583,4.3,ANACARDIACEAE,Mango,Mangifera indica 
1584,3.5,ANACARDIACEAE,Mango,Mangifera indica 
1585,4.2,ANACARDIACEAE,Mango,Mangifera indica 
1586,5.1,ANACARDIACEAE,Mango,Mangifera indica 
1587,4.2,ANACARDIACEAE,Mango,Mangifera indica 
1588,2.8,ANACARDIACEAE,Mango,Mangifera indica 
1589,3.4,ANACARDIACEAE,Mango,Mangifera indica 
1590,3.6,ANACARDIACEAE,Mango,Mangifera indica 
1591,3.7,ANACARDIACEAE,Mango,Mangifera indica 
1592,2.6,ANACARDIACEAE,Mango,Mangifera indica 
1593,4.3,ANACARDIACEAE,Mango,Mangifera indica 
1594,4.2,ANACARDIACEAE,Mango,Mangifera indica 
1595,4.4,ANACARDIACEAE,Mango,Mangifera indica 
1596,3.4,ANACARDIACEAE,Mango,Mangifera indica 
1597,4.3,ANACARDIACEAE,Mango,Mangifera indica 
1598,3.4,ANACARDIACEAE,Mango,Mangifera indica 
1599,3.7,ANACARDIACEAE,Mango,Mangifera indica 
1600,3.6,ANACARDIACEAE,Mango,Mangifera indica 
1601,3.3,ANACARDIACEAE,Mango,Mangifera indica 
1602,4.0,ANACARDIACEAE,Mango,Mangifera indica 
1603,4.2,ANACARDIACEAE,Mango,Mangifera indica 
1604,3.9,ANACARDIACEAE,Mango,Mangifera indica 
1605,3.1,ANACARDIACEAE,Mango,Mangifera indica 
1606,3.6,ANACARDIACEAE,Mango,Mangifera indica 
1607,4.0,ANACARDIACEAE,Mango,Mangifera indica 
1608,4.2,ANACARDIACEAE,Mango,Mangifera indica 
1609,4.3,ANACARDIACEAE,Mango,Mangifera indica 
1610,4.4,ANACARDIACEAE,Mango,Mangifera indica 
1611,6.5,ANACARDIACEAE,Mango,Mangifera indica 
1612,10.5,BORAGINACEAE,Nogal cafetero,Cordia alliodora 
1613,7.5,ANACARDIACEAE,Mango,Mangifera indica 
1614,7.5,MYRTACEAE,Guayabo,Psidium guajava 
1615,8.0,ANACARDIACEAE,Mango,Mangifera indica 
1616,10.5,COMBRETACEAE,Almendro,Terminalia catappa 
1617,7.5,MYRTACEAE,Guayabo,Psidium guajava 
1618,7.0,MYRTACEAE,Guayabo,Psidium guajava 
1619,14.0,MORACEAE,Ficus pandurata,Ficus lyrata
1620,15.0,ANACARDIACEAE,Mango,Mangifera indica 
1621,8.5,ARECACEAE,Atalea sp.,Attalea sp.
1622,10.5,ANACARDIACEAE,Mango,Mangifera indica 
1623,8.0,ANACARDIACEAE,Mango,Mangifera indica 
1624,8.0,MYRTACEAE,Guayabo,Psidium guajava 
1625,10.5,ANACARDIACEAE,Mango,Mangifera indica 
1626,7.8,ANACARDIACEAE,Mango,Mangifera indica 
1627,10.5,BIGNONIACEAE,Guayacán amarillo,Handroanthus chrysanthus
1628,5.8,BIGNONIACEAE,Guayacán rosado,Tabebuia rosea 
1629,6.7,ANACARDIACEAE,Mango,Mangifera indica 
1630,17.0,ANACARDIACEAE,Caracolí,Anacardium excelsum 
1631,3.8,MALPIGHIACEAE,Huesito,Malpighia glabra 
1632,8.5,ANACARDIACEAE,Mango,Mangifera indica 
1633,8.0,FABACEAE,Ébano,Caesalpinia ebano 
1634,11.0,FABACEAE,Ébano,Caesalpinia ebano 
1635,11.5,FABACEAE,Ébano,Caesalpinia ebano 
1636,12.0,FABACEAE,Ébano,Caesalpinia ebano 
1637,13.0,FABACEAE,Ébano,Caesalpinia ebano 
1638,11.5,FABACEAE,Ébano,Caesalpinia ebano 
1639,17.0,OLEACEAE,Urapán,Fraxinus uhdei 
1640,23.0,ARECACEAE,Palma sancona,Syagrus sancona 
1641,24.0,ARECACEAE,Palma sancona,Syagrus sancona 
1642,23.0,ARECACEAE,Palma sancona,Syagrus sancona 
1643,23.5,ARECACEAE,Palma sancona,Syagrus sancona 
1644,23.0,ARECACEAE,Palma sancona,Syagrus sancona 
1645,22.0,ARECACEAE,Palma sancona,Syagrus sancona 
1646,22.0,ARECACEAE,Palma sancona,Syagrus sancona 
1647,22.0,ARECACEAE,Palma sancona,Syagrus sancona 
1648,12.0,LYTHRACEAE,Guayacán de manizales,Lafoensia speciosa 
1649,14.0,FABACEAE,Cedro amarillo,Albizia guachapele 
1650,12.0,BIGNONIACEAE,Guayacán rosado,Tabebuia rosea 
1651,9.2,CLUSIACEAE,Madroño,Garcinia madruno
1652,2.1,MALVACEAE,Ceiba pentandra,Ceiba pentandra 
1653,25.0,MORACEAE,Falso laurel,Ficus benjamina 
1654,6.8,ANACARDIACEAE,Mango,Mangifera indica 
1655,17.0,ARAUCARIACEAE,Araucaria,Araucaria heterophylla
1656,21.0,OLEACEAE,Urapán,Fraxinus uhdei 
1657,12.0,ANACARDIACEAE,Caracolí,Anacardium excelsum 
1658,8.8,MELIACEAE,Caobo,Swietenia macrophylla 
1659,22.0,EUPHORBIACEAE,Ceiba tronadora,Hura crepitans 
1660,7.0,ANACARDIACEAE,Mango,Mangifera indica 
1661,14.0,BIGNONIACEAE,Tulipán africano,Spathodea campanulata 
1662,18.0,BIGNONIACEAE,Tulipán africano,Spathodea campanulata 
1663,12.0,FABACEAE,Acacia roja,Delonix regia 
1664,14.0,OLEACEAE,Urapán,Fraxinus uhdei 
1665,8.0,ANACARDIACEAE,Mango,Mangifera indica 
1666,7.3,ANACARDIACEAE,Mango,Mangifera indica 
1667,5.8,ANACARDIACEAE,Mango,Mangifera indica 
1668,5.8,BIGNONIACEAE,Tulipán africano,Spathodea campanulata 
1669,6.0,MAGNOLIACEAE,Magnolio,Magnolia grandiflora
1670,8.3,ZYGOPHYLLACEAE,Guayacán bola,Bulnesia arborea 
1671,2.5,BIGNONIACEAE,Guayacán rosado,Tabebuia rosea 
1672,4.1,RUBIACEAE,Punta guayabo,Wittmackanthus stanleyanus 
1673,5.2,RUBIACEAE,Punta guayabo,Wittmackanthus stanleyanus 
1674,7.0,ANACARDIACEAE,Mango,Mangifera indica 
1675,7.5,FABACEAE,Chocho,Ormosia colombiana 
1676,17.0,OLEACEAE,Urapán,Fraxinus uhdei 
1677,5.2,ANNONACEAE,Comino,Aniba novogranatensis
1678,15.0,MELIACEAE,Caobo,Swietenia macrophylla 
1679,7.0,SAPOTACEAE,Caimito,Chrysophyllum cainito
1680,3.5,ANNONACEAE,Guanábano,Annona muricata 
1681,16.0,OLEACEAE,Urapán,Fraxinus uhdei 
1682,17.0,OLEACEAE,Urapán,Fraxinus uhdei 
1683,8.5,SAPINDACEAE,Chumbimbo,Sapindus saponaria 
1684,4.4,APOCYNACEAE,Azuceno,Tabernaemontana litoralis
1685,17.0,OLEACEAE,Urapán,Fraxinus uhdei 
1686,14.0,FABACEAE,Gualanday (2),Jacaranda hesperia 
1687,3.0,RUBIACEAE,Punta guayabo,Wittmackanthus stanleyanus 
1688,4.8,ANACARDIACEAE,Mango,Mangifera indica 
1689,6.8,FABACEAE,Balaustre,Centrolobium yavizanum 
1690,5.2,MALPIGHIACEAE,Huesito,Malpighia glabra 
1691,14.0,BIGNONIACEAE,Tulipán africano,Spathodea campanulata 
1692,6.0,MALPIGHIACEAE,Huesito,Malpighia glabra 
1693,12.0,BIGNONIACEAE,Guayacán amarillo,Handroanthus chrysanthus
1694,18.0,BORAGINACEAE,Nogal cafetero,Cordia alliodora 
1695,8.0,BORAGINACEAE,Nogal cafetero,Cordia alliodora 
1696,18.0,OLEACEAE,Urapán,Fraxinus uhdei 
1697,3.9,CHRYSOBALANACEAE,Licania,Microdesmia arborea
1698,14.0,OLEACEAE,Urapán,Fraxinus uhdei 
1699,2.2,FABACEAE,Carbonero,Calliandra haematocephala
1700,11.0,LECYTHIDACEAE,Abarco,Cariniana pyriformis 
1701,2.5,MYRTACEAE,Guayabo,Psidium guajava 
1702,8.5,FABACEAE,Ébano,Caesalpinia ebano 
1703,5.2,FABACEAE,Velero,Senna spectabilis 
1704,11.0,BIGNONIACEAE,Guayacán rosado,Tabebuia rosea 
1705,4.3,ANNONACEAE,Annona sp.,Annona sp.
1706,6.8,ARECACEAE,Palma de coco,Cocos nucifera 
1707,7.8,FABACEAE,Ébano,Caesalpinia ebano 
1708,9.8,LECYTHIDACEAE,Abarco,Cariniana pyriformis 
1709,13.0,CLUSIACEAE,Madroño,Garcinia madruno
1710,8.0,SAPINDACEAE,Huevo vegetal,Blighia sapida
1711,10.0,BORAGINACEAE,Nogal cafetero,Cordia alliodora 
1712,5.5,FABACEAE,Carbonero (2),Calliandra pittieri 
1713,6.0,RUBIACEAE,Simira,Simira sp.
1714,9.8,FABACEAE,Carbonero (2),Calliandra pittieri 
1715,7.5,ANACARDIACEAE,Mango,Mangifera indica 
1716,14.0,LECYTHIDACEAE,Abarco,Cariniana pyriformis 
1717,9.0,ANACARDIACEAE,Mango,Mangifera indica 
1718,3.2,ANACARDIACEAE,Mango,Mangifera indica 
1719,8.5,ANACARDIACEAE,Mango,Mangifera indica 
1720,9.5,BIGNONIACEAE,Tulipán africano,Spathodea campanulata 
1721,17.0,FABACEAE,Gualanday (2),Jacaranda hesperia 
1722,5.0,BIGNONIACEAE,Guayacán amarillo,Handroanthus chrysanthus
1723,11.5,BORAGINACEAE,Nogal cafetero,Cordia alliodora 
1724,13.0,BIGNONIACEAE,Tulipán africano,Spathodea campanulata 
1725,2.4,MALVACEAE,Cacao de monte,Pachira speciosa
1726,9.5,BIGNONIACEAE,Guayacán amarillo,Handroanthus chrysanthus
1727,13.0,MALVACEAE,Cacao de monte,Pachira speciosa
1728,9.0,ANACARDIACEAE,Mango,Mangifera indica 
1729,12.0,MYRTACEAE,Pomo,Syzygium jambos 
1730,6.8,APOCYNACEAE,Catape,Thevetia peruviana 
1731,6.3,LAURACEAE,Aguacate,Persea americana 
1732,20.0,BORAGINACEAE,Nogal cafetero,Cordia alliodora 
1733,6.8,MALPIGHIACEAE,Huesito,Malpighia glabra 
1734,21.5,FABACEAE,Gualanday (2),Jacaranda hesperia 
1735,20.0,BIGNONIACEAE,Tulipán africano,Spathodea campanulata 
1736,7.6,MALVACEAE,Cacao de monte,Pachira speciosa
1737,5.5,MALVACEAE,Cacao de monte,Pachira speciosa
1738,4.8,MALPIGHIACEAE,Huesito,Malpighia glabra 
1739,6.7,ANACARDIACEAE,Mango,Mangifera indica 
1740,7.2,ANACARDIACEAE,Mango,Mangifera indica 
1741,11.5,MALVACEAE,Ceiba pentandra,Ceiba pentandra 
1742,8.0,LAURACEAE,Aguacate,Persea americana 
1743,5.8,FABACEAE,Carbonero (2),Calliandra pittieri 
1744,20.0,FABACEAE,Cámbulo,Erythrina poeppigiana 
1745,7.8,ANACARDIACEAE,Mango,Mangifera indica 
1746,20.0,MELIACEAE,Caobo,Swietenia macrophylla 
1747,9.8,LECYTHIDACEAE,Abarco,Cariniana pyriformis 
1748,10.0,LECYTHIDACEAE,Abarco,Cariniana pyriformis 
1749,14.0,FABACEAE,Cámbulo,Erythrina poeppigiana 
1750,7.0,PERACEAE,Quiebra hacha,Pera arborea
1751,3.0,MALPIGHIACEAE,Huesito,Malpighia glabra 
1752,11.0,ANACARDIACEAE,Ciruelo,Spondias purpurea 
1753,7.5,ANACARDIACEAE,Mango,Mangifera indica 
1754,8.5,MYRTACEAE,Guayabo,Psidium guajava 
1755,18.5,FABACEAE,Suribio,Zygia longifolia 
1756,19.0,FABACEAE,Suribio,Zygia longifolia 
1757,9.5,ANACARDIACEAE,Ciruelo,Spondias purpurea 
1758,10.5,POACEAE,Guadua,Guadua angustifolia
1759,17.0,OLEACEAE,Urapán,Fraxinus uhdei 
1760,20.0,OLEACEAE,Urapán,Fraxinus uhdei 
1761,14.0,BIGNONIACEAE,Tulipán africano,Spathodea campanulata 
1762,18.0,OLEACEAE,Urapán,Fraxinus uhdei 
1763,17.0,OLEACEAE,Urapán,Fraxinus uhdei 
1764,13.0,LYTHRACEAE,Guayacán de manizales,Lafoensia speciosa 
1765,10.0,MALVACEAE,Cacao de monte,Pachira speciosa
1766,14.0,BIGNONIACEAE,Guayacán rosado,Tabebuia rosea 
1767,5.7,BORAGINACEAE,Nogal cafetero,Cordia alliodora 
1768,16.0,BORAGINACEAE,Nogal cafetero,Cordia alliodora 
1769,16.0,LYTHRACEAE,Guayacán de manizales,Lafoensia speciosa 
1770,6.8,ANACARDIACEAE,Mango,Mangifera indica 
1771,14.0,LYTHRACEAE,Guayacán de manizales,Lafoensia speciosa 
1772,12.0,BIGNONIACEAE,Guayacán amarillo,Handroanthus chrysanthus
1773,16.0,LYTHRACEAE,Guayacán de manizales,Lafoensia speciosa 
1774,3.5,BIGNONIACEAE,Guayacán amarillo,Handroanthus chrysanthus
