,startA,startB,Distancia,Tiempo (min)
263,Ruta N,Calle 19A Villa Carlota,4.56,23.2
264,Ruta N,Politécnico,5.2,25.3333333333
265,Ruta N,Telemedellín,4.64,23.4666666667
266,Ruta N,Industriales Metro,3.52,19.7333333333
267,Ruta N,MAMM,4.16,21.8666666667
268,Ruta N,Río Aburrá,3.52,19.7333333333
269,Ruta N,Villa Carlota,4.24,22.1333333333
270,Ruta N,Ciudad del Río,4.56,23.2
271,Ruta N,Industriales Metroplús,3.04,18.1333333333
272,Ruta N,Nutibara,4.0,21.3333333333
273,Ruta N,Juan Pablo II,5.52,26.4
274,Ruta N,Picacha la 76,4.72,23.7333333333
275,Ruta N,Parques del río,2.88,17.6
276,Ruta N,La 33,3.84,20.8
277,Ruta N,Rosales,4.48,22.9333333333
278,Ruta N,Maria Luisa Calle,6.56,29.8666666667
279,Ruta N,Unidad Deportiva de Belén,4.08,21.6
281,Ruta N,Cafetero,3.84,20.8
282,Ruta N,Metro Envigado Sur,2.48,16.2666666667
283,Ruta N,Metro Envigado Norte,2.64,16.8
284,Ruta N,Auxiliar Metro Envigado,2.56,16.5333333333
285,Ruta N,La Ultima Estación,2.56,16.5333333333
286,Ruta N,Pista de Patinaje,2.56,16.5333333333
287,Ruta N,Villas de Vallejuelos,2.72,17.0666666667
288,Ruta N,Iglesia Alcalá,2.72,17.0666666667
289,Ruta N,Los Urapanes,2.88,17.6
290,Ruta N,Parque Débora Arango,2.8,17.3333333333
291,Ruta N,Porton de Alcalá,2.96,17.8666666667
292,Ruta N,El MUA,2.96,17.8666666667
293,Ruta N,Viva Envigado,3.12,18.4
294,Ruta N,Guanteros,3.04,18.1333333333
295,Ruta N,Envigado Centro,3.2,18.6666666667
296,Ruta N,Puente fundadores,2.64,16.8
297,Ruta N,Sabaneta Metro,0.24,8.8
298,Ruta N,Las Vegas 69 Sur,0.48,9.6
299,Ruta N,Santa Ana,0.48,9.6
300,Ruta N,Calle Nueva,1.28,12.2666666667
301,Ruta N,La Barquereña,0.8,10.6666666667
302,Ruta N,Entre amigos,0.88,10.9333333333
303,Ruta N,Sabaneta Centro,0.96,11.2
304,Ruta N,Aves María,1.12,11.7333333333
305,Ruta N,Biblioteca Sabaneta,1.12,11.7333333333
306,Ruta N,Parque 4 Elementos,0.8,10.6666666667
307,Ruta N,Puente de la 77 Sur,1.12,11.7333333333
310,Ruta N,Bahía Ciclovia,2.08,14.9333333333
311,Ruta N,Ideas,1.76,13.8666666667
312,Ruta N,Parque Itaguí,1.36,12.5333333333
313,Ruta N,Metróplus Cami,1.36,12.5333333333
314,Ruta N,Doña María,0.88,10.9333333333
315,Ruta N,Los Naranjos,1.36,12.5333333333
316,Ruta N,Villa Paula,1.04,11.4666666667
317,Ruta N,Parque el Artista,0.32,9.06666666667
318,Ruta N,Puente pan de Queso I,1.36,12.5333333333
319,Ruta N,Puente pan de Queso II,1.36,12.5333333333
320,Ruta N,Metro Bello,2.24,15.4666666667
321,Ruta N,Parque Bello,1.52,13.0666666667
324,Robledo,Moravia,3.52,19.7333333333
325,Robledo,Universidad,2.8,17.3333333333
326,Robledo,Ruta N,2.32,15.7333333333
327,Robledo,Campus Nacional,1.36,12.5333333333
328,Robledo,Dian Alpujarra,3.68,20.2666666667
329,Robledo,Distrito Creativo,4.8,24.0
330,Robledo,Plaza de La Libertad,3.6,20.0
331,Robledo,Parque de Las Luces II,3.52,19.7333333333
