,FAMILIA,Nombre común,Nombre científico,X,Y,NUMERO DE TALLOS,CAP_1,CAP_2,CAP_3,CAP_4,CAP_5,SUMATORIA CAP,ALTURA TOTAL,ALTURA DE COPA,DIAMETRO_MAYOR ,DIAMETRO_MENOR,ORIENTACIÒN DE COPA (Punto Cardinal)
1739,ANACARDIACEAE,Mango,Mangifera indica ,6.2662033,-75.5678845,1,72.3,,,,,72.3,6.7,1.6,7.4,6.2,Norte-sur
1740,ANACARDIACEAE,Mango,Mangifera indica ,6.2661687,-75.5678878,1,150.8,,,,,150.8,7.2,2.8,10.5,9.3,Norte-sur
1741,MALVACEAE,Ceiba pentandra,Ceiba pentandra ,6.266174,-75.5679672,1,186.3,,,,,186.3,11.5,3.0,13.5,10.6,Este -oeste
1742,LAURACEAE,Aguacate,Persea americana ,6.266142,-75.5680179,1,54.5,,,,,54.5,8.0,0.9,6.8,6.3,Norte -sur
1743,FABACEAE,Carbonero (2),Calliandra pittieri ,6.2661467,-75.5679821,3,38.5,37.0,34.7,,,110.2,5.8,2.3,11.8,9.3,Norte-sur
1744,FABACEAE,Cámbulo,Erythrina poeppigiana ,6.2661093,-75.5679421,1,272.0,,,,,272.0,20.0,7.8,28.5,22.6,Norte-sur
1745,ANACARDIACEAE,Mango,Mangifera indica ,6.2661,-75.5680279,2,109.6,90.1,,,,199.7,7.8,3.0,9.8,8.3,Norte-sur
1746,MELIACEAE,Caobo,Swietenia macrophylla ,6.2660253,-75.5679527,1,190.0,,,,,190.0,20.0,5.0,16.8,15.8,Este -oeste
1747,LECYTHIDACEAE,Abarco,Cariniana pyriformis ,6.266014,-75.5680379,1,70.6,,,,,70.6,9.8,4.5,9.5,5.3,Norte-sur
1748,LECYTHIDACEAE,Abarco,Cariniana pyriformis ,6.265996,-75.5680088,1,63.5,,,,,63.5,10.0,5.8,6.5,5.9,Norte-sur
1749,FABACEAE,Cámbulo,Erythrina poeppigiana ,6.2659807,-75.5679658,2,172.9,105.6,,,,278.5,14.0,6.5,15.8,13.6,Norte-sur
1750,PERACEAE,Quiebra hacha,Pera arborea,6.2659573,-75.5680352,1,26.0,,,,,26.0,7.0,0.2,9.2,9.1,Norte-sur
1751,MALPIGHIACEAE,Huesito,Malpighia glabra ,6.2659333,-75.5680631,2,7.5,6.8,,,,14.3,3.0,1.4,4.0,3.2,Este -oeste
1752,ANACARDIACEAE,Ciruelo,Spondias purpurea ,6.2659273,-75.5680505,1,150.0,,,,,150.0,11.0,4.5,16.5,14.8,Este -oeste
1753,ANACARDIACEAE,Mango,Mangifera indica ,6.265932,-75.5678844,3,90.8,81.0,57.6,,,229.4,7.5,2.3,12.5,10.3,Este -oeste
1754,MYRTACEAE,Guayabo,Psidium guajava ,6.2659,-75.5678503,1,59.5,,,,,59.5,8.5,4.0,15.2,14.3,Norte-sur
